"Nature" "When.Reported" "Occurred.Between" "Case.." "Location" "Disposition"
"1" "Hazing" "4/18/13 13:57" "2013-04-18 13:57:13 and 2013-04-18 13:57:13" "1304-0187" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"2" "Information Bul" "3/15/13 3:45" "2013-03-15 03:45:20 and 2013-03-15 03:45:20" "1303-0121" "322 STADIUM DR; Scholarship Foundation House" "CLO"
"3" "Theft" "9/8/13 11:50" "2013-09-08 11:50:32 and 2013-09-08 11:50:32" "1309-0095" "418 W COLLEGE AVE" "CLO"
"4" "Lost Property" "4/10/13 12:12" "2013-04-04 12:30:00 and 2013-04-04 13:45:00" "1304-0100" "625 UNIVERSITY WAY; DIFFENBAUGH BLDG" "CLO"
"5" "Traffic Offense" "6/24/13 21:26" "2013-06-24 21:26:16 and 2013-06-24 21:26:18" "1306-0152" "STADIUM DR" "CLO"
"6" "Found Property" "2/18/13 16:34" "2013-02-18 08:00:00 and 2013-02-18 16:34:00" "1302-0193" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"7" "Hazing" "9/23/13 10:39" "2013-09-23 10:39:09 and 2013-09-23 10:39:09" "1309-0270" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"8" "Crim Mischief" "1/30/13 10:50" "2013-01-30 10:45:13 and 2013-01-30 10:50:13" "1301-0289" "1900 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 1" "CLO"
"9" "Theft" "5/4/13 19:34" "2013-05-04 19:34:37 and 2013-05-04 19:34:37" "1305-0047" "CRENSHAW CT; 167 #6" "CLO"
"10" "Fire Alarm" "12/17/13 10:04" "2013-12-17 10:03:45 and 2013-12-17 10:03:45" "1312-0171" "143 HONORS WAY; JOHNSTON BLDG" "CLO"
"11" "Traff Crash 4" "3/3/13 15:17" "2013-03-03 15:17:33 and 2013-03-03 15:17:33" "1303-0022" "117 N WOODWARD AVE" "CLO"
"12" "Sick/Inj Person" "5/20/13 15:59" "2013-05-20 15:59:25 and 2013-05-20 15:59:25" "1305-0138" "631 UNIVERSITY WAY; WILLIAMS BLDG" "CLO"
"13" "Drugs" "8/24/13 22:55" "2013-08-24 22:55:12 and 2013-08-24 22:55:12" "1308-0147" "511 W COLLEGE AVE; Commuter Lot" "PEN"
"14" "Traff Crash 4" "2/5/13 9:53" "2013-02-05 09:52:41 and 2013-02-05 09:52:41" "1302-0046" "VARSITY DR" "CLO"
"15" "Crim Mischief" "7/29/13 8:42" "2013-07-26 17:00:00 and 2013-07-29 08:00:00" "1307-0254" "1904 HERITAGE GROVE CIR; HERITAGE GROVE" "CLO"
"16" "Information Bul" "7/9/13 17:29" "2013-07-09 17:27:32 and 2013-07-09 17:27:32" "1307-0058" "89 N WOODWARD AVE; UNION" "CLO"
"17" "Investigation" "7/24/13 15:36" "2013-07-24 15:36:01 and 2013-07-24 15:36:01" "1307-0195" "808 W TENNESSEE ST; DEGRAFF EAST" "CLO"
"18" "Sick/Inj Person" "1/9/13 15:34" "2013-01-09 15:34:30 and 2013-01-09 15:34:30" "1301-0041" "104 N WOODWARD AVE; Parking Garage #1" "CLO"
"19" "Lost Property" "4/28/13 12:32" "2013-04-28 12:32:23 and 2013-04-28 12:32:23" "1304-0325" "1641 LEVY AVE; ALUMNI VILLAGE" "CLO"
"20" "Crim Mischief" "3/21/13 2:52" "2013-03-21 01:49:00 and 2013-03-21 02:49:00" "1303-0174" "202 VARSITY DR; WILDWOOD NO.2" "CLO"
"21" "Information Bul" "4/5/13 13:28" "2013-04-05 13:28:35 and 2013-04-05 13:28:35" "1304-0041" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"22" "Sick/Inj Person" "2/20/13 10:50" "2013-02-20 10:50:40 and 2013-02-20 10:50:40" "1302-0207" "118 VARSITY WAY; LEACH CENTER" "CLO"
"23" "Intox Person 2" "7/31/13 19:33" "2013-07-31 19:32:18 and 2013-07-31 19:32:18" "1307-0281" "602 W CALL ST; THEATRE (FINE ARTS) ANNEX" "CLO"
"24" "Crim Mischief" "11/3/13 22:17" "2013-11-01 21:00:00 and 2013-11-02 01:00:00" "1311-0105" "ACADEMIC WAY" "CLO"
"25" "Sick/Inj Person" "10/3/13 7:24" "2013-10-03 07:24:01 and 2013-10-03 07:24:01" "1310-0025" "111 N WOODWARD AVE; FISHER LECTURE HALL" "CLO"
"26" "Suicide Attempt" "4/15/13 11:38" "2013-04-15 11:30:00 and 2013-04-15 11:38:08" "1304-0150" "1110 W CALL ST; FRESH FOOD DINER" "CLO"
"27" "Traff Crash 4" "11/1/13 18:25" "2013-11-01 18:25:01 and 2013-11-01 18:25:01" "1311-0025" "1017 ACADEMIC WAY; LOVE BLDG" "CLO"
"28" "Traff Hit/Run 3" "11/2/13 21:54" "2013-11-02 21:54:48 and 2013-11-02 21:54:48" "1311-0084" "806 UNIVERSITY WAY; DEVINEY HALL" "PEN"
"29" "Found Property" "11/8/13 15:24" "2013-11-08 15:24:01 and 2013-11-08 15:24:01" "1311-0161" "116 HONORS WAY; STROZIER LIBRARY" "CLO"
"30" "Sick/Inj Person" "9/25/13 14:01" "2013-09-25 14:01:18 and 2013-09-25 14:01:18" "1309-0298" "74 CHIEFTAN WAY; KELLUM HALL" "CLO"
"31" "Theft" "9/26/13 9:05" "2013-09-25 19:00:00 and 2013-09-25 20:00:00" "1309-0303" "139 CHIEFTAN WAY; TULLY GYM" "CLO"
"32" "Crim Mischief" "2/27/13 1:07" "2013-02-27 01:07:37 and 2013-02-27 01:07:37" "1302-0278" "530 W COLLEGE AVE" "EXP"
"33" "Crim Mischief" "6/10/13 10:18" "2013-06-10 08:00:00 and 2013-06-10 10:18:32" "1306-0062" "504 W CALL ST; PARKING GARAGE #4" "CLO"
"34" "Citizen Assist" "9/6/13 4:47" "2013-09-06 04:47:07 and 2013-09-06 04:47:07" "1309-0074" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"35" "Lost Property" "8/22/13 8:26" "2013-02-21 14:05:00 and 2013-02-21 20:15:00" "1308-0119" "87 N WOODWARD AVE; OGLESBY UNION - ACTIVITIES BLD" "CLO"
"36" "Traff Crash 4" "10/15/13 10:46" "2013-10-15 10:46:12 and 2013-10-15 10:46:12" "1310-0179" "W JEFFERSON ST" "CLO"
"37" "Traff Crash 4" "6/24/13 17:51" "2013-06-24 17:51:06 and 2013-06-24 17:51:06" "1306-0148" "821 ACADEMIC WAY; ROVETTA BLDG B" "CLO"
"38" "Found Property" "10/17/13 9:35" "2013-10-17 09:35:39 and 2013-10-17 09:35:39" "1310-0203" "1021 ATOMIC WAY; CAROTHERS HALL" "CLO"
"39" "Theft" "11/4/13 15:41" "2013-11-01 23:30:00 and 2013-11-02 02:30:00" "1311-0118" "714 UNIVERSITY WAY; LANDIS HALL" "CLO"
"40" "Drugs" "2/6/13 13:26" "2013-02-06 13:26:15 and 2013-02-06 13:26:15" "1302-0060" "1106 W CALL ST; SALLEY HALL" "CLO"
"41" "Fire Alarm" "10/19/13 8:41" "2013-10-19 08:41:10 and 2013-10-19 08:41:10" "1310-0230" "989 LEARNING WAY; CLASSROOM FACILITY" "CLO"
"42" "Theft" "11/25/13 11:41" "2013-10-21 11:41:57 and 2013-10-21 11:41:57" "1311-0380" "113 COLLEGIATE LOOP; BELLAMY BLDG" "CLO"
"43" "Fire Alarm" "1/9/13 22:32" "2013-01-09 22:32:17 and 2013-01-09 22:32:17" "1301-0045" "89 N WOODWARD AVE; UNION" "CLO"
"44" "Found Property" "2/25/13 9:46" "2013-02-25 09:46:50 and 2013-02-25 09:46:50" "1302-0259" "HERITAGE GROVE CIR" "CLO"
"45" "Traff Crash 4" "10/2/13 12:36" "2013-10-02 12:36:12 and 2013-10-02 12:36:12" "1310-0017" "636 W CALL ST; PEPPER BLDG" "CLO"
"46" "Alcohol Offense" "1/29/13 1:34" "2013-01-29 01:34:09 and 2013-01-29 01:34:09" "1301-0266" "511 W COLLEGE AVE; Commuter Lot" "PEN"
"47" "Information Bul" "5/6/13 11:31" "2013-05-06 11:31:24 and 2013-05-06 11:31:24" "1305-0059" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"48" "Theft" "10/2/13 17:29" "2013-10-02 17:29:44 and 2013-10-02 17:29:44" "1310-0021" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"49" "Investigation" "8/31/13 15:08" "2013-08-31 15:08:46 and 2013-08-31 15:08:46" "1308-0265" "806 UNIVERSITY WAY; DEVINEY HALL" "CLO"
"50" "Suspicious Act." "10/7/13 23:01" "2013-10-07 23:00:55 and 2013-10-07 23:00:55" "1310-0080" "113 COLLEGIATE LOOP; BELLAMY BLDG" "CLO"
"51" "Alcohol Offense" "11/2/13 0:31" "2013-11-02 00:31:46 and 2013-11-02 00:31:46" "1311-0033" "400 CHAPEL DR; Bike Trail" "PEN"
"52" "Traffic Offense" "6/6/13 1:20" "2013-06-06 01:20:36 and 2013-06-06 01:20:37" "1306-0030" "STADIUM DR" "CLO"
"53" "Theft" "5/21/13 11:09" "2013-05-21 11:02:00 and 2013-05-21 11:09:06" "1305-0142" "113 COLLEGIATE LOOP; BELLAMY BLDG" "CLO"
"54" "Alcohol Offense" "3/17/13 13:40" "2013-03-17 13:40:53 and 2013-03-17 13:40:53" "1303-0136" "600 W TENNESSEE ST" "CLO"
"55" "Drugs" "2/22/13 23:10" "2013-02-22 23:10:46 and 2013-02-22 23:10:46" "1302-0237" "808 W TENNESSEE ST; DEGRAFF EAST" "CLO"
"56" "Sick/Inj Person" "10/23/13 9:10" "2013-10-23 09:09:51 and 2013-10-23 09:09:51" "1310-0281" "150 CONVOCATION WAY; SUWANNEE ROOM" "CLO"
"57" "Theft" "4/23/13 15:39" "2013-04-18 11:00:00 and 2013-04-22 09:00:00" "1304-0245" "930 W JEFFERSON ST; RAGANS HALL 3 (C)" "CLO"
"58" "Wanted Person" "6/8/13 23:16" "2013-06-08 23:16:52 and 2013-06-08 23:16:52" "1306-0051" "530 W CALL ST; FINE ARTS BLDG" "CLO"
"59" "Bomb Threat/Att" "1/7/13 13:24" "2013-01-07 13:20:00 and 2013-01-07 13:24:23" "1301-0021" "2525 POTTSDAMER ST; COLLEGE OF ENGINEERING" "CLO"
"60" "Robbery" "7/23/13 23:49" "2013-07-23 23:47:00 and 2013-07-23 23:49:00" "1307-0187" "1165 ACADEMIC WAY; MCCOLLUM HALL" "CLO"
"61" "Fire Alarm" "7/25/13 11:29" "2013-07-25 11:29:13 and 2013-07-25 11:29:13" "1307-0213" "111 N WOODWARD AVE; FISHER LECTURE HALL" "CLO"
"62" "Traff Crash 4" "9/15/13 16:23" "2013-09-15 16:23:36 and 2013-09-15 16:23:36" "1309-0189" "267 CHIEFTAN WAY; CIRCUS LOT" "CLO"
"63" "Information Bul" "6/3/13 8:24" "2013-06-03 08:24:29 and 2013-06-03 08:24:29" "1306-0010" "3000 SCHOOLHOUSE RD" "CLO"
"64" "DUI" "10/13/13 1:23" "2013-10-13 01:23:53 and 2013-10-13 01:23:55" "1310-0146" "WALKER LOT" "PEN"
"65" "Found Property" "4/28/13 13:01" "2013-04-28 13:01:12 and 2013-04-28 13:01:12" "1304-0327" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"66" "Investigation" "4/16/13 13:04" "2013-04-16 13:03:55 and 2013-04-16 13:03:55" "1304-0160" "960 LEARNING WAY; Wellness Center" "CLO"
"67" "Agency Assist" "7/28/13 10:14" "2013-07-28 10:14:42 and 2013-07-28 10:14:42" "1307-0244" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"68" "Fire Alarm" "6/21/13 23:44" "2013-06-21 23:43:50 and 2013-06-21 23:43:50" "1306-0132" "89 N WOODWARD AVE; UNION" "CLO"
"69" "Traffic Stop" "7/12/13 14:01" "2013-07-12 14:00:00 and 2013-07-12 14:20:00" "1307-0083" "ACADEMIC WAY" "PEN"
"70" "Theft" "7/12/13 13:05" "2013-07-12 09:25:00 and 2013-07-12 07:30:00" "1307-0082" "1165 ACADEMIC WAY; MCCOLLUM HALL room 325" "CLO"
"71" "Prowler" "4/1/13 21:03" "2013-04-01 21:03:07 and 2013-04-01 21:03:07" "1304-0006" "923 LEARNING WAY; RAGANS HALL 1 (A)" "CLO"
"72" "Burglary" "2/18/13 10:14" "2013-02-12 13:00:00 and 2013-02-18 10:00:39" "1302-0186" "403 STADIUM DR; UNIVERSITY CENTER D" "CLO"
"73" "Theft" "4/17/13 22:55" "2013-04-17 18:00:00 and 2013-04-17 22:55:26" "1304-0179" "1001 W ST AUGUSTINE ST; INTRAMURAL FIELDS FACILITY" "CLO"
"74" "Theft" "6/29/13 18:56" "2013-06-29 18:55:59 and 2013-06-29 18:55:59" "1306-0190" "1106 W CALL ST; SALLEY HALL" "CLO"
"75" "Found Property" "5/3/13 18:25" "2013-05-03 18:24:23 and 2013-05-03 18:24:23" "1305-0036" "130 COLLEGIATE LOOP; MONTGOMERY" "CLO"
"76" "Security Check" "4/28/13 2:09" "2013-04-28 02:09:16 and 2013-04-28 02:09:16" "1304-0319" "530 W CALL ST; FINE ARTS BLDG" "CLO"
"77" "Theft" "1/14/13 16:39" "2013-01-14 16:39:47 and 2013-01-14 16:39:47" "1301-0092" "1106 W CALL ST; SALLEY HALL" "CLO"
"78" "Theft" "8/13/13 14:47" "2013-08-13 14:47:16 and 2013-08-13 14:47:16" "1308-0070" "1110 W CALL ST; FRESH FOOD DINER" "CLO"
"79" "Sick/Inj Person" "11/19/13 20:26" "2013-11-19 20:26:24 and 2013-11-19 20:26:24" "1311-0292" "3950 TYSON RD; INTRAMURAL COMPLEX" "CLO"
"80" "Special Assignm" "3/17/13 11:07" "2013-03-17 11:07:47 and 2013-03-17 11:07:47" "1303-0133" "ALL OVER CAMPUS" "CLO"
"81" "Resisting" "9/18/13 2:16" "2013-09-18 02:16:14 and 2013-09-18 02:16:14" "1309-0222" "500 W COLLEGE AVE" "PEN"
"82" "Baker Act" "10/29/13 13:21" "2013-10-29 13:00:00 and 2013-10-29 13:20:30" "1310-0384" "282 CHAMPIONS WAY; UNIVERSITY CENTER A" "CLO"
"83" "Special Assignm" "12/18/13 16:21" "2013-12-18 16:21:44 and 2013-12-18 16:21:44" "1312-0180" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"84" "Traff Crash 4" "10/22/13 18:56" "2013-10-22 18:56:25 and 2013-10-22 18:56:25" "1310-0273" "104 N WOODWARD AVE; FSU Bookstore" "CLO"
"85" "Sick/Inj Person" "5/27/13 15:48" "2013-05-27 15:48:45 and 2013-05-27 15:48:45" "1305-0186" "W CALL ST & CHIEFTAN WAY" "CLO"
"86" "Mental Health" "2/27/13 9:26" "2013-02-27 09:26:41 and 2013-02-27 09:26:41" "1302-0281" "104 N WOODWARD AVE; Suntrust Bank" "CLO"
"87" "Special Assignm" "7/17/13 22:03" "2013-07-17 22:03:49 and 2013-07-17 22:03:49" "1307-0139" "W TENNESSEE ST" "CLO"
"88" "Crim Mischief" "1/31/13 11:22" "2013-01-31 11:22:55 and 2013-01-31 11:22:55" "1301-0301" "old fhp" "CLO"
"89" "Baker Act" "10/21/13 7:00" "2013-10-21 07:00:35 and 2013-10-21 07:00:35" "1310-0250" "116 HONORS WAY; STROZIER LIBRARY" "PAT"
"90" "Traffic Offense" "11/29/13 21:46" "2013-11-29 21:46:32 and 2013-11-29 21:46:34" "1311-0403" "W ST AUGUSTINE ST & S WOODWARD AVE" "CLO"
"91" "Citizen Dispute" "9/26/13 0:35" "2013-09-26 00:35:03 and 2013-09-26 00:35:03" "1309-0302" "668 UNIVERSITY WAY; BROWARD HALL" "CLO"
"92" "Baker Act" "10/12/13 10:02" "2013-10-12 10:02:52 and 2013-10-12 10:02:52" "1310-0134" "938 W JEFFERSON ST; WILDWOOD NO.1" "CLO"
"93" "Traff Crash 4" "11/3/13 0:30" "2013-11-03 00:30:46 and 2013-11-03 00:30:46" "1311-0087" "SPIRIT WAY" "CLO"
"94" "Fraud" "11/2/13 21:49" "2013-11-02 21:49:43 and 2013-11-02 21:49:43" "1311-0082" "411 STADIUM DR; CAMPBELL STADIUM" "CLO"
"95" "Intox Person 2" "6/23/13 1:18" "2013-06-23 01:18:33 and 2013-06-23 01:18:33" "1306-0138" "808 W TENNESSEE ST; DEGRAFF EAST" "CLO"
"96" "Special Assignm" "4/3/13 15:35" "2013-04-03 15:35:00 and 2013-04-03 15:35:00" "1304-0021" "830 W JEFFERSON ST; TANNER HALL" "CLO"
"97" "Investigation" "8/3/13 3:42" "2013-08-03 03:00:00 and 2013-08-03 03:30:00" "1308-0012" "126 CONVOCATION WAY; MURPHREE HALL" "CLO"
"98" "Sick/Inj Person" "10/22/13 20:26" "2013-10-22 20:26:30 and 2013-10-22 20:26:30" "1310-0274" "812 W JEFFERSON ST; DORMAN HALL" "CLO"
"99" "Found Property" "2/28/13 23:40" "2013-02-28 23:40:39 and 2013-02-28 23:40:39" "1302-0300" "646 W JEFFERSON ST; DODD LECTURE HALL" "CLO"
