Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Hazing,4/18/13 13:57,2013-04-18 13:57:13 and 2013-04-18 13:57:13,1304-0187,830 W JEFFERSON ST; TANNER HALL,CLO
Information Bul,3/15/13 3:45,2013-03-15 03:45:20 and 2013-03-15 03:45:20,1303-0121,322 STADIUM DR; Scholarship Foundation House,CLO
Theft,9/8/13 11:50,2013-09-08 11:50:32 and 2013-09-08 11:50:32,1309-0095,418 W COLLEGE AVE,CLO
Lost Property,4/10/13 12:12,2013-04-04 12:30:00 and 2013-04-04 13:45:00,1304-0100,625 UNIVERSITY WAY; DIFFENBAUGH BLDG,CLO
Traffic Offense,6/24/13 21:26,2013-06-24 21:26:16 and 2013-06-24 21:26:18,1306-0152,STADIUM DR,CLO
Found Property,2/18/13 16:34,2013-02-18 08:00:00 and 2013-02-18 16:34:00,1302-0193,830 W JEFFERSON ST; TANNER HALL,CLO
Hazing,9/23/13 10:39,2013-09-23 10:39:09 and 2013-09-23 10:39:09,1309-0270,830 W JEFFERSON ST; TANNER HALL,CLO
Crim Mischief,1/30/13 10:50,2013-01-30 10:45:13 and 2013-01-30 10:50:13,1301-0289,1900 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 1,CLO
Theft,5/4/13 19:34,2013-05-04 19:34:37 and 2013-05-04 19:34:37,1305-0047,CRENSHAW CT; 167 #6,CLO
Fire Alarm,12/17/13 10:04,2013-12-17 10:03:45 and 2013-12-17 10:03:45,1312-0171,143 HONORS WAY; JOHNSTON BLDG,CLO
Traff Crash 4,3/3/13 15:17,2013-03-03 15:17:33 and 2013-03-03 15:17:33,1303-0022,117 N WOODWARD AVE,CLO
Sick/Inj Person,5/20/13 15:59,2013-05-20 15:59:25 and 2013-05-20 15:59:25,1305-0138,631 UNIVERSITY WAY; WILLIAMS BLDG,CLO
Drugs,8/24/13 22:55,2013-08-24 22:55:12 and 2013-08-24 22:55:12,1308-0147,511 W COLLEGE AVE; Commuter Lot,PEN
Traff Crash 4,2/5/13 9:53,2013-02-05 09:52:41 and 2013-02-05 09:52:41,1302-0046,VARSITY DR,CLO
Crim Mischief,7/29/13 8:42,2013-07-26 17:00:00 and 2013-07-29 08:00:00,1307-0254,1904 HERITAGE GROVE CIR; HERITAGE GROVE,CLO
Information Bul,7/9/13 17:29,2013-07-09 17:27:32 and 2013-07-09 17:27:32,1307-0058,89 N WOODWARD AVE; UNION,CLO
