end_time,artist_name,track_name,ms_played
2021-03-18 07:41,"nothing,nowhere.",blood (feat. KennyHoopla & JUDGE),16304
2021-03-19 07:19,Rihanna,Pon de Replay,246960
2021-03-19 08:28,Miguel,Simple Things (Remix) (feat. Chris Brown & Future),75889
2021-03-20 00:04,KennyHoopla,estella//,118733
2021-03-20 00:04,KennyHoopla,how will i rest in peace if i'm buried by a highway?//,0
2021-03-20 00:08,Rihanna,Pon de Replay,246960
2021-03-20 00:10,Miguel,Simple Things (Remix) (feat. Chris Brown & Future),155505
2021-03-20 00:11,Frank Ocean,Seigfried,20501
2021-03-20 00:14,Frank Ocean,DHL,4351
2021-03-20 00:14,Frank Ocean,Bad Religion,175453
2021-03-20 00:14,Frank Ocean,Crack Rock,9091
2021-03-20 00:18,Frank Ocean,Dear April (Side A - Acoustic),231040
2021-03-20 00:22,Frank Ocean,Self Control,249667
2021-03-20 00:22,Frank Ocean,Skyline To,6633
2021-03-20 00:23,Frank Ocean,Cayendo (Side A - Acoustic),50816
2021-03-20 00:23,Frank Ocean,White Ferrari,1834
2021-03-20 00:23,Frank Ocean,Biking (Solo),4095
2021-03-20 00:28,Frank Ocean,Nikes,314075
2021-03-20 00:33,Frank Ocean,Moon River,6404
2021-03-20 00:33,Frank Ocean,Pyramids,1343
2021-03-20 00:33,Frank Ocean,Pink Matter,268813
2021-03-20 00:38,Frank Ocean,Nights,307151
2021-03-20 00:42,Frank Ocean,Solo,257380
2021-03-20 00:44,Frank Ocean,Futura Free,94479
2021-03-20 00:46,Frank Ocean,Pilot Jones,140181
2021-03-20 17:27,Frank Ocean,Pilot Jones,43756
2021-03-20 17:27,Frank Ocean,Solo,4320
2021-03-20 17:30,Frank Ocean,Pink + White,184516
2021-03-20 17:30,Frank Ocean,Monks,3804
2021-03-20 17:31,Frank Ocean,Super Rich Kids,52906
2021-03-20 17:35,Frank Ocean,Sweet Life,262680
2021-03-20 17:36,Frank Ocean,White,3669
2021-03-20 17:36,Frank Ocean,Sierra Leone,53620
2021-03-20 17:37,Frank Ocean,Lens,2154
2021-03-20 17:37,Frank Ocean,Pretty Sweet,6250
2021-03-20 17:37,Frank Ocean,Ivy,1322
2021-03-20 17:37,Frank Ocean,In My Room,67583
2021-03-20 17:39,Frank Ocean,Close To You,85754
2021-03-20 17:39,Frank Ocean,Provider,3068
2021-03-20 17:43,Frank Ocean,Swim Good,257186
2021-03-20 17:46,Frank Ocean,Forrest Gump,194840
2021-03-21 19:18,Frank Ocean,Novacane,41288
2021-03-21 19:23,Rusted Root,Send Me On My Way,263360
2021-03-21 19:28,Rusted Root,Ecstasy,302266
2021-03-21 19:29,Rusted Root,You Can't Always Get What You Want,90098
2021-03-21 20:33,Rusted Root,Send Me On My Way,4992
2021-03-21 20:37,Rusted Root,Send Me On My Way,258616
2021-03-21 22:08,Rusted Root,Send Me On My Way,235200
2021-03-22 01:23,Frank Ocean,Close To You,2624
2021-03-22 01:24,Frank Ocean,Close To You,83382
2021-03-22 01:25,Frank Ocean,White Ferrari,55204
2021-03-23 16:36,Frank Ocean,Solo (Reprise),67639
2021-03-26 04:25,Kanye West,Use This Gospel,213878
2021-03-26 04:29,JAY-Z,The Story of O.J.,231760
2021-03-26 04:31,Kanye West,Follow God,104591
2021-03-26 04:34,A$AP Rocky,Sundress,158206
2021-03-26 04:36,Pusha T,Puppets (Succession Remix),137520
2021-03-26 07:25,Mac Miller,Good News,328838
2021-03-27 01:29,The Beatles,Come Together - Remastered 2009,118288
2021-03-27 05:02,Justin Bieber,Love Yourself,233720
2021-03-27 05:03,Justin Bieber,Purpose,17041
2021-03-27 05:06,Justin Bieber,Sorry,200787
2021-03-27 05:10,Justin Bieber,Love Yourself,233720
2021-03-27 05:10,The Chainsmokers,Something Just Like This,29000
2021-03-27 05:17,Beyoncé,Drunk in Love (feat. Jay-Z),223287
2021-03-27 05:20,Justin Bieber,Anyone,190779
2021-03-27 05:23,Justin Bieber,Hold On,170813
2021-03-27 05:26,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),51091
2021-03-27 05:32,Justin Bieber,Holy (feat. Chance The Rapper),92569
2021-03-27 05:35,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),178994
2021-03-27 05:39,Ariana Grande,Stuck with U (with Justin Bieber),228482
2021-03-27 05:46,Justin Bieber,Love Yourself,91425
2021-03-27 05:49,Justin Bieber,Unstable (feat. The Kid LAROI),158324
2021-03-27 05:51,Justin Bieber,2 Much,152796
2021-03-27 05:54,Justin Bieber,Deserve You,60939
2021-03-27 05:57,Justin Bieber,As I Am (feat. Khalid),174406
2021-03-27 06:00,Justin Bieber,Off My Face,6887
2021-03-27 06:03,Justin Bieber,Holy (feat. Chance The Rapper),83981
2021-03-27 06:57,Justin Bieber,Die For You (feat. Dominic Fike),198426
2021-03-27 07:00,Justin Bieber,Hold On,170813
2021-03-27 07:03,Justin Bieber,Somebody,179415
2021-03-27 07:05,Justin Bieber,Ghost,153190
2021-03-27 07:09,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),198082
2021-03-27 07:12,Justin Bieber,Love You Different (feat. BEAM),186696
2021-03-27 07:14,Justin Bieber,Loved By You (feat. Burna Boy),159250
2021-03-27 07:18,Justin Bieber,Anyone,190779
2021-03-27 07:20,Justin Bieber,Lonely (with benny blanco),149190
2021-03-27 07:24,Justin Bieber,There She Go (feat. Lil Uzi Vert),215020
2021-03-27 07:27,Justin Bieber,I Can't Be Myself (feat. Jaden),193360
2021-03-27 14:25,Justin Bieber,Lifetime,80291
2021-03-27 20:38,Justin Bieber,2 Much,152796
2021-03-27 20:41,Justin Bieber,Deserve You,61313
2021-03-27 20:44,Justin Bieber,As I Am (feat. Khalid),13491
2021-03-27 20:47,Justin Bieber,Off My Face,6877
2021-03-27 20:50,Justin Bieber,Holy (feat. Chance The Rapper),84022
2021-03-27 20:53,Justin Bieber,Unstable (feat. The Kid LAROI),158324
2021-03-27 20:55,Justin Bieber,MLK Interlude,104008
2021-03-27 20:57,Justin Bieber,Die For You (feat. Dominic Fike),181860
2021-03-27 20:59,Justin Bieber,Hold On,170813
2021-03-27 21:02,Justin Bieber,Somebody,179415
2021-03-27 21:05,Justin Bieber,Ghost,153190
